timestamp_unix,datetime_utc,increase_2_3_june_2025_yes
1749686407,2025-06-12T00:00:07+00:00,0.0355
1749772807,2025-06-13T00:00:07+00:00,0.0065
1749859208,2025-06-14T00:00:08+00:00,0.008
1749945608,2025-06-15T00:00:08+00:00,0.0135
1750032007,2025-06-16T00:00:07+00:00,0.0155
1750118408,2025-06-17T00:00:08+00:00,0.0175
1750204808,2025-06-18T00:00:08+00:00,0.02
1750291207,2025-06-19T00:00:07+00:00,0.015
1750377608,2025-06-20T00:00:08+00:00,0.0215
1750464008,2025-06-21T00:00:08+00:00,0.0135
1750550406,2025-06-22T00:00:06+00:00,0.0245
1750636807,2025-06-23T00:00:07+00:00,0.0395
1750723207,2025-06-24T00:00:07+00:00,0.042
1750809607,2025-06-25T00:00:07+00:00,0.0225
1750896008,2025-06-26T00:00:08+00:00,0.026
1750982407,2025-06-27T00:00:07+00:00,0.006
1751068807,2025-06-28T00:00:07+00:00,0.012
1751155208,2025-06-29T00:00:08+00:00,0.0315
1751241607,2025-06-30T00:00:07+00:00,0.0235
1751328008,2025-07-01T00:00:08+00:00,0.0105
1751414407,2025-07-02T00:00:07+00:00,0.0055
1751500808,2025-07-03T00:00:08+00:00,0.008
1751587208,2025-07-04T00:00:08+00:00,0.0295
1751673608,2025-07-05T00:00:08+00:00,0.007
1751760007,2025-07-06T00:00:07+00:00,0.0075
1751846407,2025-07-07T00:00:07+00:00,0.007
1751932808,2025-07-08T00:00:08+00:00,0.0075
1752019207,2025-07-09T00:00:07+00:00,0.0085
1752105608,2025-07-10T00:00:08+00:00,0.0085
1752192008,2025-07-11T00:00:08+00:00,0.0045
1752278409,2025-07-12T00:00:09+00:00,0.0035
1752364808,2025-07-13T00:00:08+00:00,0.0025
1752451207,2025-07-14T00:00:07+00:00,0.0025
1752537608,2025-07-15T00:00:08+00:00,0.007
