timestamp_unix,datetime_utc,increase_max_3_6_june_2026_yes
1781136005,2026-06-11T00:00:05+00:00,0.05
1781222404,2026-06-12T00:00:04+00:00,0.0005
1781308804,2026-06-13T00:00:04+00:00,0.0045
1781395207,2026-06-14T00:00:07+00:00,0.007
1781481603,2026-06-15T00:00:03+00:00,0.006
1781568006,2026-06-16T00:00:06+00:00,0.0125
1781654405,2026-06-17T00:00:05+00:00,0.011
1781740816,2026-06-18T00:00:16+00:00,0.0255
1781827221,2026-06-19T00:00:21+00:00,0.014
1781913604,2026-06-20T00:00:04+00:00,0.018
1782000006,2026-06-21T00:00:06+00:00,0.0165
1782086405,2026-06-22T00:00:05+00:00,0.01
1782172804,2026-06-23T00:00:04+00:00,0.016
1782259204,2026-06-24T00:00:04+00:00,0.02
1782345604,2026-06-25T00:00:04+00:00,0.0615
1782432003,2026-06-26T00:00:03+00:00,0.07
1782518404,2026-06-27T00:00:04+00:00,0.0245
1782604804,2026-06-28T00:00:04+00:00,0.0315
1782691203,2026-06-29T00:00:03+00:00,0.0415
1782777604,2026-06-30T00:00:04+00:00,0.073
1782864003,2026-07-01T00:00:03+00:00,0.0565
1782950404,2026-07-02T00:00:04+00:00,0.037
1783036804,2026-07-03T00:00:04+00:00,0.0665
1783123203,2026-07-04T00:00:03+00:00,0.0255
1783209603,2026-07-05T00:00:03+00:00,0.024
1783296004,2026-07-06T00:00:04+00:00,0.02
1783382408,2026-07-07T00:00:08+00:00,0.0105
1783468804,2026-07-08T00:00:04+00:00,0.018
1783555208,2026-07-09T00:00:08+00:00,0.0205
1783641605,2026-07-10T00:00:05+00:00,0.014
1783728006,2026-07-11T00:00:06+00:00,0.014
1783814418,2026-07-12T00:00:18+00:00,0.0315
1783900806,2026-07-13T00:00:06+00:00,0.0165
1783987205,2026-07-14T00:00:05+00:00,0.029
